id_funcionario,nome,departamento,turno,cidade,data,vendas_qtd,ticket_medio,faturamento,custo,lucro,horas_trabalhadas,salario
2,Bruno,Operacoes,Tarde,Campinas,2025-01-01,56,975.0,54600.0,41435.15,13164.85,166,8086
3,Carla,TI,Noite,Sao Paulo,2025-01-08,50,415.0,20750.0,10791.38,9958.62,142,8703
4,Diego,Vendas,Manha,Campinas,2025-01-15,55,107.0,5885.0,4287.17,1597.83,130,8221
5,Elaine,Operacoes,Tarde,Sao Paulo,2025-01-22,11,755.0,8305.0,4328.67,3976.33,147,4954
6,Fabio,TI,Noite,Campinas,2025-01-29,44,456.0,20064.0,11597.6,8466.4,158,6378
7,Giovana,Vendas,Manha,Sao Paulo,2025-02-05,37,874.0,32338.0,25812.2,6525.8,184,8193
8,Henrique,Operacoes,Tarde,Campinas,2025-02-12,43,971.0,41753.0,33218.02,8534.98,157,4556
9,Iris,TI,Noite,Sao Paulo,2025-02-19,51,324.0,16524.0,10658.24,5865.76,129,3476
10,Joao,Vendas,Manha,Campinas,2025-02-26,29,149.0,4321.0,2618.33,1702.67,197,6137
11,Karen,Operacoes,Tarde,Sao Paulo,2025-03-05,49,1384.0,67816.0,44195.04,23620.96,155,6438
12,Lucas,TI,Noite,Campinas,2025-03-12,19,795.0,15105.0,7537.49,7567.51,199,3274
13,Marina,Vendas,Manha,Sao Paulo,2025-03-19,10,369.0,3690.0,2497.44,1192.56,190,4463
14,Nicolas,Operacoes,Tarde,Campinas,2025-03-26,44,617.0,27148.0,10899.75,16248.25,169,8429
15,Olivia,TI,Noite,Sao Paulo,2025-04-02,41,316.0,12956.0,6569.21,6386.79,197,8746
16,Paulo,Vendas,Manha,Campinas,2025-04-09,15,813.0,12195.0,9010.4,3184.6,176,7230
17,Queila,Operacoes,Tarde,Sao Paulo,2025-04-16,7,1138.0,7966.0,3477.94,4488.06,139,6609
18,Rafa,TI,Noite,Campinas,2025-04-23,44,810.0,35640.0,26677.81,8962.19,174,5475
19,Sara,Vendas,Manha,Sao Paulo,2025-04-30,40,937.0,37480.0,15880.3,21599.7,172,5642
20,Teo,Operacoes,Tarde,Campinas,2025-05-07,37,552.0,20424.0,9396.67,11027.33,150,8342
1,Ana,TI,Noite,Sao Paulo,2025-05-14,27,631.0,17037.0,13484.77,3552.23,151,6916
2,Bruno,Vendas,Manha,Campinas,2025-05-21,29,947.0,27463.0,17993.72,9469.28,163,7461
3,Carla,Operacoes,Tarde,Sao Paulo,2025-05-28,57,311.0,17727.0,10212.97,7514.03,148,4709
4,Diego,TI,Noite,Campinas,2025-06-04,7,663.0,4641.0,2035.92,2605.08,152,9297
5,Elaine,Vendas,Manha,Sao Paulo,2025-06-11,57,401.0,22857.0,15284.61,7572.39,121,5092
6,Fabio,Operacoes,Tarde,Campinas,2025-06-18,32,1323.0,42336.0,28148.61,14187.39,162,4029
7,Giovana,TI,Noite,Sao Paulo,2025-06-25,51,1283.0,65433.0,50905.52,14527.48,168,8894
